route,category,value,unit,classification,provenance,source,model_effect,note
BF-BOF,CAPEX,73.0,USD/t,FROZEN_EXTERNAL,FROZEN_EXTERNAL,configs/optimization/baseline.yaml economics,annualised CAPEX cost term in objective,
BF-BOF,FOM,68.0,USD/t,FROZEN_EXTERNAL,FROZEN_EXTERNAL,configs/optimization/baseline.yaml economics,fixed O&M cost term in objective,
BF-BOF,VOM,0.0,USD/t,EXTERNAL_PENDING,EXTERNAL_PENDING,VOM_ALL_ROUTES (registry: not separated from combined OPEX),"absent cost term (documented, not silent)","VOM 0.0 is a documented EXTERNAL_PENDING absence, never a frozen fact"
BF-BOF,SEC,27.3,GJ/t,FROZEN_EXTERNAL,FROZEN_EXTERNAL,NITI Aayog Sectoral Insights: Industry Vol. 4,system summary only (not an intensity),
BF-BOF,electricity,0.05,,FROZEN_EXTERNAL,FROZEN_EXTERNAL,NITI Aayog Sectoral Insights: Industry Vol. 4,electricity cost term in objective,
BF-BOF,coal,,,EXTERNAL_PENDING,EXTERNAL_PENDING,Ministry of Steel / JPC Coal Consumption Data (Pending File),coal (coking/non-coking) cost term,
BF-BOF,gas,0.0,,FROZEN_EXTERNAL,FROZEN_EXTERNAL,NITI Aayog Sectoral Insights: Industry Vol. 4,natural gas cost term,
BF-BOF,iron_ore,1.45,,EXTERNAL_PENDING,EXTERNAL_PENDING,IEA Iron and Steel Technology Roadmap 2020 / MoS process benchmarks (Pending File),iron ore cost term,
BF-BOF,scrap,0.15,,FROZEN_EXTERNAL,FROZEN_EXTERNAL,NITI Aayog Sectoral Insights: Industry Vol. 4,scrap cost term in objective,"PHASE 20: Scrap-EAF scrap intensity PROMOTED to 1.05 t/t FROZEN_EXTERNAL (Xylia et al. 2018, Energy Efficiency 11(5), Table 2 p.1063; corroborated by IEA Roadmap 2020 metallic-input 1.05-1.2 t/t). Uncertainty bounds 1.00-1.15 retained. worldsteel 0.88/0.71 are the BLENDED recycled-EAF route (boundary mismatch, NOT used)"
BF-BOF,H2,0.0,,FROZEN_EXTERNAL,FROZEN_EXTERNAL,NITI Aayog Sectoral Insights: Industry Vol. 4,"hydrogen cost term (55 kg/t, V4 p.65)",
